Untitled report,,,,,,
"November 1, 2025 - November 30, 2025",,,,,,
Campaign,Day,Device,Currency code,Cost,Impr.,Clicks
Me_Sales_P-Max_Oct25,11-11-2025,Tablets,INR,2,90,2
Pro_Sales_P-Max_Oct25,11-11-2025,Computers,INR,106.45,535,14
Pro_Sales_P-Max_Oct25,11-11-2025,Mobile phones,INR,1785.78,"24,166",418
Pro_Sales_P-Max_Oct25,11-11-2025,Tablets,INR,3.29,63,1
PRO_Search_|_Oct_25,12-11-2025,Computers,INR,446.55,185,28
PRO_Search_|_Oct_25,12-11-2025,Mobile phones,INR,3956.11,"3,078",343
PRO_Search_|_Oct_25,12-11-2025,Tablets,INR,0,12,0
ME_Search_|_Oct_25,12-11-2025,Computers,INR,157.81,340,16
ME_Search_|_Oct_25,12-11-2025,Mobile phones,INR,6847.28,"94,886","1,078"
ME_Search_|_Oct_25,12-11-2025,Tablets,INR,0.51,12,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Other,INR,18.7,294,7
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Mobile phones,INR,1143.76,"10,461",416
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,12-11-2025,Computers,INR,63.58,573,16
Me_Sales_P-Max_Oct25,12-11-2025,Mobile phones,INR,2084.79,"38,127",697
Me_Sales_P-Max_Oct25,12-11-2025,Tablets,INR,8.25,207,8
Pro_Sales_P-Max_Oct25,12-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,12-11-2025,Computers,INR,119.97,813,15
Pro_Sales_P-Max_Oct25,12-11-2025,Mobile phones,INR,2776.08,"33,762",560
Pro_Sales_P-Max_Oct25,12-11-2025,Tablets,INR,2.18,92,0
PRO_Search_|_Oct_25,13-11-2025,Computers,INR,552.9,227,23
PRO_Search_|_Oct_25,13-11-2025,Mobile phones,INR,3874.81,"4,264",320
PRO_Search_|_Oct_25,13-11-2025,Tablets,INR,2.87,41,1
ME_Search_|_Oct_25,13-11-2025,Computers,INR,134.76,353,14
ME_Search_|_Oct_25,13-11-2025,Mobile phones,INR,6892.87,"1,10,974","1,154"
ME_Search_|_Oct_25,13-11-2025,Tablets,INR,0,23,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Other,INR,8.87,271,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Mobile phones,INR,953.79,"8,433",326
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Tablets,INR,0,13,0
Me_Sales_P-Max_Oct25,13-11-2025,Computers,INR,41.6,525,11
Me_Sales_P-Max_Oct25,13-11-2025,Mobile phones,INR,2032.15,"30,900",412
Me_Sales_P-Max_Oct25,13-11-2025,Tablets,INR,0.03,65,0
Pro_Sales_P-Max_Oct25,13-11-2025,Computers,INR,111.44,942,18
Pro_Sales_P-Max_Oct25,13-11-2025,Mobile phones,INR,3151.82,"34,840",653
Pro_Sales_P-Max_Oct25,13-11-2025,Tablets,INR,9.96,155,2
PRO_Search_|_Oct_25,14-11-2025,Computers,INR,293.33,262,23
PRO_Search_|_Oct_25,14-11-2025,Mobile phones,INR,3765.83,"6,508",377
PRO_Search_|_Oct_25,14-11-2025,Tablets,INR,5.35,47,2
ME_Search_|_Oct_25,14-11-2025,Computers,INR,348.59,166,20
ME_Search_|_Oct_25,14-11-2025,Mobile phones,INR,2434.39,"9,116",222
ME_Search_|_Oct_25,14-11-2025,Tablets,INR,0,18,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Other,INR,11.38,242,4
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Mobile phones,INR,1072.43,"10,573",386
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Tablets,INR,0,21,0
Me_Sales_P-Max_Oct25,14-11-2025,Computers,INR,69.72,495,12
Me_Sales_P-Max_Oct25,14-11-2025,Mobile phones,INR,1933.26,"31,638",445
Me_Sales_P-Max_Oct25,14-11-2025,Tablets,INR,10.51,112,4
Me_Sales_P-Max_Oct25,14-11-2025,TV screens,INR,26.95,91,0
Pro_Sales_P-Max_Oct25,14-11-2025,Computers,INR,180.81,799,18
Pro_Sales_P-Max_Oct25,14-11-2025,Mobile phones,INR,2365.32,"32,913",570
Pro_Sales_P-Max_Oct25,14-11-2025,Tablets,INR,6.04,77,2
Pro_Sales_P-Max_Oct25,14-11-2025,TV screens,INR,26.9,61,0
PRO_Search_|_Oct_25,15-11-2025,Computers,INR,271.64,147,17
PRO_Search_|_Oct_25,15-11-2025,Mobile phones,INR,3828.67,"4,728",400
PRO_Search_|_Oct_25,15-11-2025,Tablets,INR,1.02,35,2
ME_Search_|_Oct_25,15-11-2025,Computers,INR,167.56,80,8
ME_Search_|_Oct_25,15-11-2025,Mobile phones,INR,2287.85,"1,743",174
ME_Search_|_Oct_25,15-11-2025,Tablets,INR,0,10,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Other,INR,21.18,189,8
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Mobile phones,INR,911.71,"8,754",343
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Tablets,INR,2.56,20,1
Me_Sales_P-Max_Oct25,15-11-2025,Computers,INR,48.84,442,11
Me_Sales_P-Max_Oct25,15-11-2025,Mobile phones,INR,1923.52,"33,457",462
Me_Sales_P-Max_Oct25,15-11-2025,Tablets,INR,24.66,89,2
Pro_Sales_P-Max_Oct25,15-11-2025,Computers,INR,95.37,882,20
Pro_Sales_P-Max_Oct25,15-11-2025,Mobile phones,INR,3384.12,"42,403",742
Pro_Sales_P-Max_Oct25,15-11-2025,Tablets,INR,4.41,133,0
PRO_Search_|_Oct_25,16-11-2025,Computers,INR,111.31,91,9
